Sentence #,Token_id,Word,Tag,Sentiment,Relation
Sentence: 2,1,Om,O,-,-
Sentence: 2,2,plaats,O,-,-
Sentence: 2,3,te,O,-,-
Sentence: 2,4,maken,O,-,-
Sentence: 2,5,voor,O,-,-
Sentence: 2,6,windmolens,O,-,-
Sentence: 2,7,wil,B-expression,pos,-
Sentence: 2,8,het,B-holder,-,7
Sentence: 2,9,kabinet,I-holder,-,7
Sentence: 2,10,Noordzeevissers,B-target,-,7
Sentence: 2,11,die,I-target,-,7
Sentence: 2,12,bereid,I-target,-,7
Sentence: 2,13,zijn,I-target,-,7
Sentence: 2,14,te,I-target,-,7
Sentence: 2,15,stoppen,I-target,-,7
Sentence: 2,16,",",I-target,-,7
Sentence: 2,17,uitkopen,I-target,-,7
Sentence: 2,18,.,O,-,-
Sentence: 3,1,ABP,B-holder,-,2
Sentence: 3,2,stelt,B-expression,neg,-
Sentence: 3,3,zichzelf,I-expression,neg,-
Sentence: 3,4,als,I-expression,neg,-
Sentence: 3,5,doel,I-expression,neg,-
Sentence: 3,6,om,I-expression,neg,-
Sentence: 3,7,in,I-expression,neg,-
Sentence: 3,8,2025,I-expression,neg,-
Sentence: 3,9,de,B-target,-,2
Sentence: 3,10,CO2,I-target,-,2
Sentence: 3,11,uitstoot,I-target,-,2
Sentence: 3,12,van,I-target,-,2
Sentence: 3,13,de,I-target,-,2
Sentence: 3,14,aandelenportefeuille,I-target,-,2
Sentence: 3,15,met,I-expression,neg,-
Sentence: 3,16,40,I-expression,neg,-
Sentence: 3,17,procent,I-expression,neg,-
Sentence: 3,18,terug,I-expression,neg,-
Sentence: 3,19,te,I-expression,neg,-
Sentence: 3,20,brengen,I-expression,neg,-
Sentence: 3,21,ten,O,-,-
Sentence: 3,22,opzichte,O,-,-
Sentence: 3,23,van,O,-,-
Sentence: 3,24,2015,O,-,-
Sentence: 3,25,.,O,-,-
Sentence: 4,1,Daarin,O,-,-
Sentence: 4,2,wil,B-expression,pos,-
Sentence: 4,3,de,B-holder,-,2
Sentence: 4,4,gemeente,I-holder,-,2
Sentence: 4,5,bijvoorbeeld,O,-,-
Sentence: 4,6,de,B-target,-,2
Sentence: 4,7,omvang,I-target,-,2
Sentence: 4,8,van,I-target,-,2
Sentence: 4,9,zonneparken,I-target,-,2
Sentence: 4,10,en,I-target,-,2
Sentence: 4,11,de,I-target,-,2
Sentence: 4,12,hoogte,I-target,-,2
Sentence: 4,13,van,I-target,-,2
Sentence: 4,14,windmolens,I-target,-,2
Sentence: 4,15,vaststellen,I-target,-,2
Sentence: 4,16,.,O,-,-
Sentence: 5,1,DJW,B-holder,-,2
Sentence: 5,2,wil,B-expression,pos,-
Sentence: 5,3,ook,O,-,-
Sentence: 5,4,onderzoek,B-target,-,2
Sentence: 5,5,van,I-target,-,2
Sentence: 5,6,andere,I-target,-,2
Sentence: 5,7,manieren,I-target,-,2
Sentence: 5,8,om,I-target,-,2
Sentence: 5,9,duurzame,I-target,-,2
Sentence: 5,10,energie,I-target,-,2
Sentence: 5,11,op,I-target,-,2
Sentence: 5,12,te,I-target,-,2
Sentence: 5,13,wekken,I-target,-,2
Sentence: 5,14,",",O,-,-
Sentence: 5,15,zoals,O,-,-
Sentence: 5,16,geothermie,O,-,-
Sentence: 5,17,.,O,-,-
Sentence: 6,1,Het,B-expression,pos,-
Sentence: 6,2,liefst,I-expression,pos,-
Sentence: 6,3,zou,O,-,-
Sentence: 6,4,Van,B-holder,-,1
Sentence: 6,5,Hoeken,I-holder,-,1
Sentence: 6,6,de,B-target,-,1
Sentence: 6,7,zonneparken,I-target,-,1
Sentence: 6,8,laten,I-target,-,1
Sentence: 6,9,drijven,I-target,-,1
Sentence: 6,10,tussen,I-target,-,1
Sentence: 6,11,de,I-target,-,1
Sentence: 6,12,windmolens,I-target,-,1
Sentence: 6,13,op,I-target,-,1
Sentence: 6,14,zee,I-target,-,1
Sentence: 6,15,.,O,-,-
Sentence: 7,1,Het,B-holder,-,4
Sentence: 7,2,bedrijf,I-holder,-,4
Sentence: 7,3,Powerfield,I-holder,-,4
Sentence: 7,4,wil,B-expression,pos,-
Sentence: 7,5,het,B-target,-,4
Sentence: 7,6,zonnepark,I-target,-,4
Sentence: 7,7,neerzetten,I-target,-,4
Sentence: 7,8,in,I-target,-,4
Sentence: 7,9,een,I-target,-,4
Sentence: 7,10,weiland,I-target,-,4
Sentence: 7,11,ten,I-target,-,4
Sentence: 7,12,noorden,I-target,-,4
Sentence: 7,13,van,I-target,-,4
Sentence: 7,14,de,I-target,-,4
Sentence: 7,15,Veneweg,I-target,-,4
Sentence: 7,16,",",O,-,-
Sentence: 7,17,ter,O,-,-
Sentence: 7,18,hoogte,O,-,-
Sentence: 7,19,van,O,-,-
Sentence: 7,20,de,O,-,-
Sentence: 7,21,Brugjesgracht,O,-,-
Sentence: 7,22,.,O,-,-
Sentence: 8,1,Zo,O,-,-
Sentence: 8,2,hebben,B-expression,pos,-
Sentence: 8,3,wij,B-holder,-,2
Sentence: 8,4,een,I-expression,pos,-
Sentence: 8,5,Nederlands,I-expression,pos,-
Sentence: 8,6,transitiefonds,I-expression,pos,-
Sentence: 8,7,opgezet,I-expression,pos,-
Sentence: 8,8,dat,I-expression,pos,-
