Sentence_id,Sentence #,Token_id,Word,Tag
3,Sentence: 3,1,ABP,B-holder
3,Sentence: 3,2,stelt,B-expression
3,Sentence: 3,3,zichzelf,I-expression
3,Sentence: 3,4,als,I-expression
3,Sentence: 3,5,doel,I-expression
3,Sentence: 3,6,om,I-expression
3,Sentence: 3,7,in,O
3,Sentence: 3,8,2025,O
3,Sentence: 3,9,de,B-target
3,Sentence: 3,10,CO2,I-target
3,Sentence: 3,11,uitstoot,I-target
3,Sentence: 3,12,van,I-target
3,Sentence: 3,13,de,I-target
3,Sentence: 3,14,aandelenportefeuille,I-target
3,Sentence: 3,15,met,I-expression
3,Sentence: 3,16,40,I-expression
3,Sentence: 3,17,procent,I-expression
3,Sentence: 3,18,terug,I-expression
3,Sentence: 3,19,te,I-expression
3,Sentence: 3,20,brengen,I-expression
3,Sentence: 3,21,ten,O
3,Sentence: 3,22,opzichte,O
3,Sentence: 3,23,van,O
3,Sentence: 3,24,2015,O
3,Sentence: 3,25,.,O
4,Sentence: 4,1,Daarin,O
4,Sentence: 4,2,wil,B-expression
4,Sentence: 4,3,de,B-holder
4,Sentence: 4,4,gemeente,I-holder
4,Sentence: 4,5,bijvoorbeeld,O
4,Sentence: 4,6,de,B-target
4,Sentence: 4,7,omvang,I-target
4,Sentence: 4,8,van,I-target
4,Sentence: 4,9,zonneparken,I-target
4,Sentence: 4,10,en,I-target
4,Sentence: 4,11,de,I-target
4,Sentence: 4,12,hoogte,I-target
4,Sentence: 4,13,van,I-target
4,Sentence: 4,14,windmolens,I-target
4,Sentence: 4,15,vaststellen,I-target
4,Sentence: 4,16,.,O
5,Sentence: 5,1,DJW,B-holder
5,Sentence: 5,2,wil,B-expression
5,Sentence: 5,3,ook,O
5,Sentence: 5,4,onderzoek,B-target
5,Sentence: 5,5,van,I-target
5,Sentence: 5,6,andere,I-target
5,Sentence: 5,7,manieren,I-target
5,Sentence: 5,8,om,I-target
5,Sentence: 5,9,duurzame,I-target
5,Sentence: 5,10,energie,I-target
5,Sentence: 5,11,op,I-target
5,Sentence: 5,12,te,I-target
5,Sentence: 5,13,wekken,I-target
5,Sentence: 5,14,",",O
5,Sentence: 5,15,zoals,O
5,Sentence: 5,16,geothermie,O
5,Sentence: 5,17,.,O
6,Sentence: 6,1,Het,B-expression
6,Sentence: 6,2,liefst,I-expression
6,Sentence: 6,3,zou,O
6,Sentence: 6,4,Van,B-holder
6,Sentence: 6,5,Hoeken,I-holder
6,Sentence: 6,6,de,B-target
6,Sentence: 6,7,zonneparken,I-target
6,Sentence: 6,8,laten,I-target
6,Sentence: 6,9,drijven,I-target
6,Sentence: 6,10,tussen,I-target
6,Sentence: 6,11,de,I-target
6,Sentence: 6,12,windmolens,I-target
6,Sentence: 6,13,op,I-target
6,Sentence: 6,14,zee,I-target
