Sentence #,Word,Tag
Sentence:  1,We,O
Sentence:  1,gaan,O
Sentence:  1,wonen,O
Sentence:  1,in,O
Sentence:  1,een,B-LOC
Sentence:  1,nieuw,I-LOC
Sentence:  1,wijkje,I-LOC
Sentence:  1,in,I-LOC
Sentence:  1,Deventer,I-LOC
Sentence:  1,waar,O
Sentence:  1,ieder,O
Sentence:  1,huis,O
Sentence:  1,een,O
Sentence:  1,plat,O
Sentence:  1,dak,O
Sentence:  1,heeft,O
Sentence:  1,.,O
Sentence:  4,nu,O
Sentence:  4,gewoon,O
Sentence:  4,buiten,O
Sentence:  4,de,B-ORG.Gov
Sentence:  4,gemeenteraad,I-ORG.Gov
Sentence:  4,om,O
Sentence:  4,beslissen,O
Sentence:  4,dat,O
Sentence:  4,het,O
Sentence:  4,wel,O
Sentence:  4,kan,O
Sentence:  4,met,O
Sentence:  4,kleinere,O
Sentence:  4,windmolens,O
Sentence:  4,.,O
Sentence:  5,En,O
Sentence:  5,kleinere,O
Sentence:  5,zijn,O
Sentence:  5,ook,O
Sentence:  5,nog,O
Sentence:  5,160,O
Sentence:  5,m,O
Sentence:  5,hoog,O
Sentence:  5,Deventer,B-GPE.Gpe
Sentence:  5,windmolens,O
Sentence:  6,Gemeente,B-GPE.Org
Sentence:  6,BorgerOdoorn,I-GPE.Org
Sentence:  6,moet,O
Sentence:  6,op,O
Sentence:  6,zoek,O
Sentence:  6,naar,O
Sentence:  6,een,O
Sentence:  6,nieuwe,O
Sentence:  6,raadsgriffier,B-PER.Ind
Sentence:  6,de,O
Sentence:  6,huidige,O
Sentence:  6,griffier,B-PER.Ind
Sentence:  6,",",O
Sentence:  6,Henriëtte,B-PER.Ind
Sentence:  6,van,I-PER.Ind
Sentence:  6,Olst,I-PER.Ind
Sentence:  6,51,O
Sentence:  6,",",O
Sentence:  6,stopt,O
Sentence:  6,per,O
Sentence:  6,1,O
Sentence:  6,april,O
Sentence:  7,Oldenzaal,B-GPE.Org
Sentence:  7,werkt,O
Sentence:  7,mee,O
Sentence:  7,aan,O
Sentence:  7,huizen,O
Sentence:  7,en,O
Sentence:  7,winkels,O
Sentence:  7,in,O
Sentence:  7,Drieeenheidskerk,B-LOC
Sentence:  8,Nu,O
Sentence:  8,ben,O
Sentence:  8,ik,O
Sentence:  8,ook,O
Sentence:  8,een,O
Sentence:  8,keer,O
Sentence:  8,bij,O
Sentence:  8,deloswal,B-ORG.Com
Sentence:  8,ingeweest,O
Sentence:  8,.,O
Sentence:  9,Goed,O
Sentence:  9,eten,O
Sentence:  9,",",O
Sentence:  9,uitgebreide,O
Sentence:  9,kaart,O
Sentence:  9,en,O
Sentence:  9,een,B-PER.Ind
Sentence:  9,wethouder,I-PER.Ind
Sentence:  9,die,O
Sentence:  9,betaalde,O
Sentence:  9,.,O
Sentence:  16,Excuses,O
Sentence:  16,van,O
Sentence:  16,burgemeester,B-PER.Ind
Sentence:  16,Ellen,I-PER.Ind
Sentence:  16,Nauta,I-PER.Ind
Sentence:  16,voor,O
Sentence:  16,cyberaanval,O
Sentence:  16,op,O
Sentence:  16,gemeente,B-GPE.Org
Sentence:  16,Hof,I-GPE.Org
Sentence:  16,van,I-GPE.Org
Sentence:  16,Twente,I-GPE.Org
Sentence:  17,Vreemde,O
Sentence:  17,besluiten,O
Sentence:  17,van,O
Sentence:  17,de,B-ORG.Gov
Sentence:  17,gemeenteraad,I-ORG.Gov
Sentence:  17,rondom,O
Sentence:  17,maatschappelijk,O
Sentence:  17,vastgoed,O
Sentence:  17,.,O
Sentence:  18,Daar,O
Sentence:  18,kunnen,O
Sentence:  18,ze,O
Sentence:  18,in,O
Sentence:  18,tubbergen,B-GPE.Gpe
Sentence:  18,over,O
Sentence:  18,meepraten,O
Sentence:  18,...,O
Sentence:  19,Of,O
Sentence:  19,gebruikt,O
Sentence:  19,de,B-ORG.Gov
Sentence:  19,raad,I-ORG.Gov
Sentence:  19,vanwel,O
Sentence:  19,het,O
Sentence:  19,verstand,O
Sentence:  19,?,O
Sentence:  20,Gisteren,O
Sentence:  20,plaatste,O
Sentence:  20,wethouder,B-PER.Ind
Sentence:  20,Rietman,I-PER.Ind
Sentence:  20,boven,O
Sentence:  20,de,O
Sentence:  20,doorgang,O
Sentence:  20,van,O
Sentence:  20,de,O
Sentence:  20,Veerpoort,O
Sentence:  20,Hasselt,O
Sentence:  20,een,O
Sentence:  20,eiken,O
Sentence:  20,balk,O
Sentence:  20,.,O
Sentence:  21,De,O
Sentence:  21,balk,O
Sentence:  21,wordt,O
Sentence:  21,met,O
Sentence:  21,originele,O
Sentence:  21,historische,O
Sentence:  21,gevelankers,O
Sentence:  21,uit,O
Sentence:  21,Hasselt,B-GPE.Gpe
Sentence:  21,vastgezet,O
Sentence:  21,aan,O
Sentence:  21,het,O
Sentence:  21,metselwerk,O
Sentence:  21,hasselt,O
Sentence:  21,veerpoort,O
Sentence:  21,hanzestad,O
Sentence:  21,kijkindevegtebouwbedrijf,O
Sentence:  26,Almelo,B-GPE.Org
Sentence:  26,faciliteert,O
Sentence:  26,verhuizing,O
Sentence:  26,A1Electronics,O
Sentence:  26,naar,O
Sentence:  26,zonnepark,O
Sentence:  26,Aadorp,B-GPE.Gpe
Sentence:  27,Hof,B-GPE.Org
Sentence:  27,van,I-GPE.Org
Sentence:  27,Twente,I-GPE.Org
Sentence:  27,enthousiast,O
Sentence:  27,over,O
Sentence:  27,spoorpark,O
Sentence:  27,ennostalgischewoningbouw,O
Sentence:  27,Goor,B-GPE.Gpe
Sentence:  27,wordt,O
Sentence:  27,een,O
Sentence:  27,stuk,O
Sentence:  27,mooier,O
Sentence:  28,En,O
Sentence:  28,geen,O
Sentence:  28,kritiek,O
Sentence:  28,op,O
Sentence:  28,de,B-GPE.Org
Sentence:  28,gemeente,I-GPE.Org
Sentence:  28,OlstWijhe,I-GPE.Org
Sentence:  28,over,O
Sentence:  28,deze,O
Sentence:  28,verhoging,O
Sentence:  28,want,O
Sentence:  28,dan,O
Sentence:  28,is,O
Sentence:  28,dit,O
Sentence:  28,de,O
Sentence:  28,reactie,O
Sentence:  28,van,O
Sentence:  28,de,B-PER.Ind
Sentence:  28,locoburgermeester,I-PER.Ind
Sentence:  28,en,O
Sentence:  28,wethouder,B-PER.Ind
Sentence:  28,.,O
Sentence:  29,Het,O
Sentence:  29,originele,O
Sentence:  29,artikel,O
Sentence:  29,van,O
Sentence:  29,RTV,B-ORG.Med
Sentence:  29,Oost,I-ORG.Med
Sentence:  29,staat,O
Sentence:  29,op,O
Sentence:  29,De,O
Sentence:  29,foto,O
